"Ó³ÏñÃû³Æ","PID","»á»°Ãû      ","»á»°#   ","ÄÚ´æÊ¹ÓÃ ","×´Ì¬  ","ÓÃ»§Ãû   ","CPU Ê±¼ä","´°¿Ú±êÌâ    "
"python.exe","20708","Console","2","3,909,908 K","Unknown","DESKTOP-9811GUV\Lenovo","0:57:52","ÔÝÈ±"
"python.exe","12444","Console","2","1,310,656 K","Unknown","DESKTOP-9811GUV\Lenovo","0:08:36","ÔÝÈ±"
"python.exe","11036","Console","2","749,924 K","Unknown","DESKTOP-9811GUV\Lenovo","0:40:39","ÔÝÈ±"
"python.exe","5992","Console","2","752,796 K","Unknown","DESKTOP-9811GUV\Lenovo","0:40:40","ÔÝÈ±"
"python.exe","17904","Console","2","750,952 K","Unknown","DESKTOP-9811GUV\Lenovo","0:04:38","ÔÝÈ±"
"python.exe","31304","Console","2","749,252 K","Unknown","DESKTOP-9811GUV\Lenovo","0:04:46","ÔÝÈ±"
"python.exe","19256","Console","2","5,964 K","Unknown","DESKTOP-9811GUV\Lenovo","0:00:00","ÔÝÈ±"
"python.exe","27036","Console","2","576,588 K","Unknown","DESKTOP-9811GUV\Lenovo","0:19:54","ÔÝÈ±"
"python.exe","24440","Console","2","5,960 K","Unknown","DESKTOP-9811GUV\Lenovo","0:00:00","ÔÝÈ±"
"python.exe","23084","Console","2","554,072 K","Unknown","DESKTOP-9811GUV\Lenovo","0:19:41","ÔÝÈ±"
"python.exe","10276","Console","2","5,964 K","Unknown","DESKTOP-9811GUV\Lenovo","0:00:00","ÔÝÈ±"
"python.exe","5348","Console","2","559,276 K","Unknown","DESKTOP-9811GUV\Lenovo","0:19:31","ÔÝÈ±"
"python.exe","14624","Console","2","6,024 K","Unknown","DESKTOP-9811GUV\Lenovo","0:00:00","ÔÝÈ±"
"python.exe","19888","Console","2","412,880 K","Unknown","DESKTOP-9811GUV\Lenovo","0:00:17","ÔÝÈ±"
